,0
191,Mango_Ripe
192,Banana_Ripe
193,Pomengranate_Ripe
194,Pomengranate_Ripe
195,Leeche_Ripe
196,Apple_Ripe
197,Papaya_Ripe
198,Banana_Raw
199,Strawberry_Ripe
200,Strawberry_Ripe
201,Apple_Raw
202,Leeche_Ripe
203,Strawberry_Ripe
204,Pomengranate_Raw
205,Banana_Raw
206,Strawberry_Raw
207,Banana_Ripe
208,Banana_Ripe
209,Leeche_Ripe
210,Strawberry_Raw
211,Strawberry_Raw
212,Pomengranate_Ripe
213,Mango_Raw
214,Pomengranate_Raw
215,Guava_Ripe
216,Orange_Raw
217,Guava_Raw
218,Mango_Ripe
219,Pomengranate_Ripe
220,Mango_Raw
221,Guava_Ripe
222,Mango_Ripe
223,Guava_Ripe
224,Mango_Ripe
225,Apple_Ripe
226,Coconut_Ripe
227,Pomengranate_Raw
228,Strawberry_Ripe
229,Guava_Ripe
230,Apple_Raw
231,Papaya_Ripe
232,Strawberry_Ripe
233,Pomengranate_Raw
234,Guava_Ripe
235,Guava_Raw
236,Pomengranate_Raw
237,Mango_Ripe
238,Papaya_Ripe
239,Guava_Ripe
240,Apple_Raw
241,Pomengranate_Ripe
242,Leeche_Ripe
243,Guava_Ripe
244,Mango_Ripe
245,Mango_Ripe
246,Leeche_Raw
247,Coconut_Ripe
248,Guava_Raw
249,Pomengranate_Raw
250,Papaya_Raw
251,Banana_Ripe
252,Leeche_Ripe
253,Leeche_Raw
254,Apple_Ripe
255,Apple_Ripe
256,Papaya_Ripe
257,Orange_Raw
258,Banana_Raw
259,Mango_Ripe
260,Coconut_Raw
261,Apple_Ripe
262,Pomengranate_Ripe
263,Apple_Raw
264,Pomengranate_Raw
265,Guava_Ripe
266,Mango_Raw
267,Strawberry_Raw
268,Mango_Raw
269,Leeche_Raw
270,Guava_Ripe
271,Guava_Ripe
272,Papaya_Ripe
273,Leeche_Raw
274,Banana_Raw
275,Orange_Raw
276,Orange_Ripe
277,Guava_Ripe
278,Strawberry_Ripe
279,Pomengranate_Raw
280,Leeche_Ripe
281,Apple_Ripe
282,Mango_Raw
283,Strawberry_Ripe
284,Guava_Ripe
285,Apple_Raw
286,Papaya_Ripe
287,Orange_Ripe
288,Strawberry_Raw
289,Strawberry_Ripe
290,Banana_Raw
291,Guava_Ripe
292,Apple_Ripe
293,Apple_Raw
294,Papaya_Ripe
295,Leeche_Raw
296,Strawberry_Ripe
297,Strawberry_Ripe
298,Mango_Ripe
299,Guava_Ripe
300,Strawberry_Raw
301,Pomengranate_Raw
302,Guava_Ripe
303,Guava_Raw
304,Apple_Raw
305,Pomengranate_Ripe
306,Pomengranate_Ripe
307,Strawberry_Ripe
308,Banana_Ripe
309,Apple_Ripe
310,Mango_Raw
311,Leeche_Ripe
312,Pomengranate_Raw
313,Leeche_Raw
314,Orange_Raw
315,Papaya_Ripe
316,Apple_Raw
317,Coconut_Ripe
318,Papaya_Ripe
319,Orange_Ripe
320,Pomengranate_Ripe
321,Apple_Raw
322,Strawberry_Raw
323,Guava_Ripe
324,Mango_Raw
325,Strawberry_Raw
326,Pomengranate_Ripe
327,Leeche_Ripe
328,Orange_Ripe
329,Strawberry_Raw
330,Strawberry_Ripe
331,Guava_Ripe
332,Papaya_Ripe
333,Leeche_Raw
334,Strawberry_Raw
335,Pomengranate_Ripe
336,Leeche_Raw
337,Banana_Raw
338,Mango_Ripe
339,Strawberry_Raw
340,Apple_Raw
341,Pomengranate_Ripe
342,Apple_Raw
343,Pomengranate_Raw
344,Papaya_Raw
345,Banana_Raw
346,Mango_Raw
347,Banana_Raw
348,Pomengranate_Raw
349,Pomengranate_Ripe
350,Orange_Raw
351,Mango_Ripe
352,Pomengranate_Raw
353,Orange_Raw
354,Coconut_Ripe
355,Strawberry_Ripe
356,Guava_Ripe
357,Pomengranate_Ripe
358,Banana_Raw
359,Apple_Ripe
360,Papaya_Ripe
361,Pomengranate_Raw
362,Leeche_Ripe
363,Apple_Raw
364,Papaya_Raw
365,Papaya_Ripe
366,Pomengranate_Raw
367,Leeche_Raw
368,Pomengranate_Ripe
369,Strawberry_Ripe
370,Orange_Raw
371,Pomengranate_Raw
372,Pomengranate_Raw
373,Pomengranate_Raw
374,Banana_Raw
375,Papaya_Ripe
376,Pomengranate_Raw
377,Coconut_Ripe
378,Banana_Raw
379,Banana_Raw
380,Apple_Ripe
381,Mango_Raw
382,Leeche_Raw
383,Guava_Raw
384,Pomengranate_Raw
385,Leeche_Raw
386,Pomengranate_Raw
387,Mango_Raw
388,Orange_Raw
389,Banana_Raw
390,Coconut_Ripe
391,Coconut_Ripe
392,Apple_Raw
393,Guava_Raw
394,Banana_Ripe
395,Apple_Raw
396,Banana_Raw
397,Papaya_Ripe
398,Apple_Raw
399,Apple_Ripe
400,Orange_Raw
401,Orange_Ripe
402,Apple_Ripe
403,Apple_Raw
404,Pomengranate_Ripe
405,Strawberry_Ripe
406,Coconut_Ripe
407,Banana_Ripe
408,Strawberry_Raw
409,Papaya_Ripe
410,Orange_Ripe
411,Guava_Ripe
412,Banana_Ripe
413,Orange_Raw
414,Strawberry_Raw
